ids,parents,labels
1984,Hotel management,Duty magement
1985,Hotel management,Purchasing
1986,NGO management,Human resources
1987,Administration,Document control
1988,Administration,Data input
1989,Administration,Filing
1990,Administration,Office management
1991,Research,Online information
1992,Business analysis,Requirements gathering
1993,Business analysis,Writing
1994,Business analysis,Online research
1995,Business analysis,Wireframing
1996,Business analysis,Stakeholder management
1997,Content development,Semantic search
1998,Content development,Social media
1999,Content development,Classification
2000,Content development,Government sites
2001,Content development,User research
2002,Content development,Metadata
2003,Content development,Taxonomy
2004,Research,Environment
2005,Research,Unsafe healthcare
2006,Research,Discourse analysis
2007,Research,HIV research
2008,Content development,Migration
2009,NGO management,Field research
2010,NGO management,Budgets
2011,Research,Lexical data
2012,NGO management,Risk management
2013,Research,Bibliography
2014,Research,Knowledge management
2015,NGO management,Finance
2016,NGO management,Orphanages
2017,NGO management,Education
2018,NGO management,Grant proposals
2019,NGO management,Monitoring and evaluation
